出席番号,学習時間,睡眠時間,テスト得点
1,9.2,7.2,69
2,3.8,7.0,44
3,11.0,5.8,65
4,11.8,6.7,70
5,0.5,6.6,28
6,2.8,6.7,47
7,8.5,7.4,61
8,6.7,6.7,57
9,7.9,7.2,65
10,4.6,6.6,53
11,11.5,6.8,77
12,11.1,7.1,71
13,8.3,5.0,54
14,12.5,6.2,73
15,9.9,6.0,53
16,4.6,5.9,37
17,9.5,6.2,55
18,4.2,8.0,45
19,11.5,5.6,71
20,7.8,7.5,56
21,7.3,4.8,50
22,5.3,6.2,60
23,12.9,6.7,74
24,7.4,7.1,65
25,6.3,7.2,50
26,6.6,7.3,57
27,10.1,6.2,59
28,9.5,6.0,61
29,9.7,7.4,74
30,9.7,6.3,53
31,16.6,5.2,87
32,6.4,5.4,53
33,6.0,5.6,47
34,4.7,7.0,41
35,10.5,6.6,69
36,12.5,7.2,73
37,7.5,6.1,59
38,4.6,6.7,50
39,4.7,7.1,63
40,10.6,6.2,66
